"gene"	"ASDc"	"IDG"	"hs"	"SCZ"	"FMRP"	"PSD"	"NP_exon_max_z"	"any_Brain_GO"	"TADAq"	"TADAi"	"UASD"	"varp"	"meanp"	"medp"	"minp"	"maxp"
"ENC1"	0	0	0.756	1	1	0	6.37760027875996	1	0.93690976738772	0	0	0.00435178505292946	0.981307860374025	0.997507458087959	0.00373158990660456	1
"YWHAG"	0	0	0.991	1	1	1	6.38868898564155	1	0.733418084183783	0	0	0.00447898565723344	0.977893634634071	0.99617460325101	0.0552272167380646	1
"TCF4"	0	0	0.959	1	1	0	4.96708299424554	1	0.496864384513892	0	0	0.0045390897833846	0.977807960615982	0.996074684167673	0.0172255744845683	1
"SCN8A"	0	0	0.523	1	1	0	6.83378080655651	1	0.937508593763697	0	0	0.00380659186208574	0.976812123640745	0.996156637366962	0.189498830182674	1
"KCNA2"	0	0	0.409	1	1	0	6.88800358649861	1	0.933312484088555	0	0	0.00261879995345769	0.973822620483417	0.994235330800652	0.598435256291282	1
"SMARCC2"	0	0	0.995	1	1	0	4.36986068711885	1	0.537962058874662	0	0	0.00427468159638343	0.97375496255691	0.99383766316409	0.117363349183597	1
"NLGN3"	1	0	0.442	1	1	0	6.12949877360203	1	0.786040560253209	0	1	0.00229130295216896	0.972771805806178	0.992409640672143	0.715675700652277	1
"ATP1A3"	0	0	0.918	1	1	1	4.9649281829588	1	0.945602880551137	0	0	0.00273265643028794	0.969202862623526	0.988500987710871	0.523037468493284	1
"LINGO1"	0	0	0.706	1	1	1	6.66155018712424	1	0.942294232888082	0	0	0.00576212819653514	0.968055065034618	0.993028628922625	0.0264599702407169	1
"PKD1"	0	0	0.73	1	1	0	3.8758577704409	1	0.949277049314896	0	0	0.00278601080908926	0.964131802088299	0.984030298565068	0.693894915611407	1
"NR2F1"	0	0	0.749	1	1	0	3.80715041729544	1	0.450103836036785	0	0	0.00281765598289815	0.963768000813897	0.984004759234074	0.690201095209553	1
"CACNA1A"	0	0	0.611	1	1	0	4.0375152116705	1	0.945717858295083	0	0	0.00295179400152454	0.961927203144228	0.981691986224385	0.702487760130753	1
"SCN2A"	1	0	0.566	1	1	0	4.14702805972463	1	3.16934423150173e-10	1	1	0.00299240576671594	0.961432314154261	0.981238497887159	0.708229133312527	1
"KCNC3"	0	0	0.306	1	1	0	5.51948861745479	1	0.9409987412232	0	0	0.00336034404512231	0.960639353023502	0.983155329116943	0.667308317680138	1
"CHD8"	1	0	0.637	1	1	0	3.74765107921084	1	2.80347078884802e-10	1	1	0.00318985564481584	0.958821281811196	0.978714465206052	0.686982559500911	1
"OLFM1"	0	0	0.678	1	1	1	4.80903936838593	1	0.926070684776242	0	0	0.00289379521411642	0.958736085871821	0.977300414106529	0.695985994093303	1
"TNIK"	0	0	0.806	1	1	0	3.3932349975665	1	0.927164279013579	0	0	0.00324663667736986	0.958673284555885	0.980150687185316	0.66551237445651	1
"CUX1"	0	0	0.784	1	1	0	3.35624577958772	1	0.945981888515496	0	0	0.00334228611499085	0.957319249386296	0.978572672502749	0.665368720024958	1
"DLG4"	0	0	0.988	1	1	1	3.78912609410311	1	0.905512769965575	0	0	0.00327622052787804	0.956781789991554	0.979087685504509	0.646010647623538	1
"THRA"	0	0	0.416	1	1	0	4.32829699823712	1	0.851542274279918	0	0	0.00344088613092538	0.955982333268234	0.977007003109822	0.683428391653547	1
"POLR2A"	0	0	0.998	1	1	0	4.82225138018969	0	0.948276663575379	0	0	0.00887732282369745	0.955976367149899	0.985249946303455	6.62214385745472e-07	1
"GNB1"	0	0	0.851	1	1	1	3.96969985239401	1	0.933256319059586	0	0	0.00294723039140768	0.95595974505679	0.97569724896567	0.698899984275833	1
"BPTF"	0	0	0.37	1	1	0	4.54620393427967	1	0.948354640391348	0	0	0.0034906710435671	0.955740458259816	0.97756570088123	0.67430909378541	1
"CREBBP"	0	0	1	1	1	0	4.70022569601602	0	0.683751256236187	0	0	0.0089400078230636	0.954000242730376	0.983841131830653	1.18169570162381e-06	1
"NF1"	0	0	0.526	1	1	0	3.75752328334213	1	0.659642932998516	0	0	0.00356150984164408	0.953968628439647	0.973935453919218	0.687517842189084	1
"CHD5"	0	0	0.244	1	1	0	5.21745076653748	1	0.940284332096067	0	0	0.0039744294605577	0.953213994450499	0.976782224677591	0.645681932809209	1
"NDST1"	0	0	0.691	1	1	0	3.21058642196262	1	0.944335345633329	0	0	0.00377126586150649	0.95125796532953	0.972599543620262	0.657138292501092	1
"MAPK1"	0	0	0.999	1	1	1	3.49131214446445	1	0.925538652735545	0	0	0.00385665600934206	0.950859962269917	0.972999829916821	0.606101528553688	1
"LRP1"	0	0	0.64	1	1	1	4.25655126991219	1	0.947292042679718	0	0	0.0031530951357146	0.950595396095578	0.968327331508913	0.713905366771764	1
"DICER1"	0	0	0.389	1	1	0	3.99108663286254	1	0.637100226618559	0	0	0.00391867260418136	0.949709760824104	0.970270640836807	0.672050072950239	1
"ATP2B2"	0	0	0.658	1	1	1	4.018297818924	1	0.94195050646986	0	0	0.00328720112466101	0.948138836594756	0.965253639791364	0.701473566267978	1
"KCNQ3"	0	0	0.741	1	1	0	2.99229865008753	1	0.623266482685057	0	0	0.0040433657662794	0.948079559497921	0.97013389624005	0.630953006710713	1
"FYN"	0	0	0.996	1	1	1	3.3791370318765	1	0.872368113630223	0	0	0.00410858488319875	0.948070714482497	0.971160253194579	0.598957706049472	1
"DCLK1"	0	0	0.738	1	1	1	3.77505305382147	1	0.941234598660939	0	0	0.00333412474874974	0.948050401684814	0.966546800889907	0.688467095181987	1
"HIPK1"	0	0	0.995	1	1	0	2.77697127444482	1	0.943659101975688	0	0	0.0050118591881854	0.947650059895901	0.973494826195352	0.49080925624658	1
"CHD4"	0	0	0.767	1	1	0	4.79744326517085	0	0.942605409979569	0	0	0.00874351132206186	0.947180673444375	0.97411309919915	0.000739234175623833	1
"USP9X"	0	0	0.477	1	1	1	5.02137562446679	1	0.932050539599423	0	0	0.00411622489896114	0.946309429198307	0.969058644390486	0.646712616556843	1
"PRPF8"	0	0	0.832	1	1	0	4.55652663357746	0	0.864672966632337	0	0	0.00872322937447611	0.945671029600115	0.974322388595592	0.00038756186036869	1
"SMARCA4"	0	1	1	1	1	0	5.36536443391528	1	0.543981083540648	0	0	0.0210634335762582	0.945528359944626	0.99335809070036	6.30546222862263e-07	1
"CHD3"	0	0	0.774	1	1	0	4.67566832011481	0	0.887822178652685	0	0	0.00871283256645971	0.945351582467859	0.972734110561068	0.00115874777699459	1
"SPEN"	0	0	0.897	1	1	0	2.74438045332914	1	0.567965868300813	0	0	0.00468894383261357	0.945276039405713	0.969209017981806	0.528807984632948	1
"NFIX"	0	0	0.342	1	1	0	3.89501645939714	1	0.937531062112452	0	0	0.00429570641763355	0.945037461657323	0.966869602222112	0.659123878895408	1
"AP2B1"	0	0	0.699	1	1	1	3.66929263150465	1	0.897184756826458	0	0	0.00356083715335545	0.944141790336755	0.962812209407027	0.682716260539942	1
"CACNA1G"	0	0	0.401	1	1	0	3.56397023561249	1	0.936816764011919	0	0	0.00437346972109051	0.943542031759326	0.963907583625355	0.669201224645368	1
"ADCY5"	0	0	0.353	1	1	0	3.74830432050068	1	0.439326254375415	0	0	0.00440597708019318	0.943463379378091	0.964336743357415	0.660078335656346	1
"SV2A"	0	0	0.882	1	1	1	3.27400369883333	1	0.941492912406814	0	0	0.00408086723136093	0.942460359129313	0.963604220552351	0.66073364059959	1
"TTBK1"	0	0	0.238	1	1	0	4.28983229600436	1	0.945499655663176	0	0	0.00462657769209445	0.942418536880491	0.964961027972346	0.636021781722809	1
"ANK2"	1	0	0.953	1	1	1	3.18612965432886	1	9.48942886785931e-06	1	1	0.00447899858670937	0.941874860897553	0.964978353212745	0.631259445387281	1
"KCNB1"	0	0	0.65	1	1	0	4.74747792159295	0	0.942365723890428	0	0	0.00865764424506754	0.939979052347826	0.96446092318666	0.0309158913030454	1
"GRIK5"	0	0	0.204	1	1	0	4.33333468453745	1	0.655041512229838	0	0	0.00489932264088314	0.939840119980558	0.963358105241934	0.627052780747978	1
"CHD6"	0	0	0.783	1	1	0	4.36574498473879	0	0.948801834174834	0	0	0.00864240077732537	0.939562835504178	0.965888974879858	0.00470527973972689	1
"ADRBK1"	0	0	0.647	1	1	1	3.57337811252054	1	0.947841779114118	0	0	0.00383883594324268	0.939393549629545	0.955866471316156	0.677452057459631	1
"GPM6A"	0	0	0.708	1	1	0	2.70450008640798	1	0.923289596172618	0	0	0.00470224944870437	0.939267926639453	0.96071864247	0.609179179702664	1
"ITPR1"	0	0	0.433	1	1	0	3.23742690165712	1	0.947225321083011	0	0	0.00467933519463691	0.939245302928347	0.958180947016915	0.658662204117292	1
"SMARCA2"	0	0	1	1	1	0	3.99539059841248	0	0.859161969596514	0	0	0.00963681559834828	0.938350822328883	0.97259128517636	4.72867702288954e-05	1
"TLE3"	0	0	0.657	1	1	0	4.60996880451991	0	0.814882864861913	0	0	0.00844952219144693	0.937898037252004	0.961631179875734	0.0522558383624562	1
"PRKCE"	0	0	0.886	1	1	1	3.10261404743379	1	0.942378505754945	0	0	0.00454011732050076	0.937704032544525	0.95983388985639	0.650975444062032	1
"PDE8B"	0	0	0.462	1	1	0	3.04973994902205	1	0.936951141475121	0	0	0.00484244475608572	0.936868172051007	0.956066920612078	0.647938828641285	1
"KALRN"	0	0	0.627	1	1	1	3.48528409650281	1	0.949081192371732	0	0	0.00403033880662282	0.936337377346656	0.951968065021441	0.672577057903696	1
"NCOR1"	0	0	0.539	1	1	0	2.84883575781168	1	0.948173873258787	0	0	0.00487002761046989	0.936157028577816	0.955429402853973	0.636292924752799	1
"DSCAML1"	0	0	0.302	1	1	0	3.53779453250589	1	0.744071479852112	0	0	0.00501802975828026	0.935956231783834	0.955941777912862	0.645249577057043	1
"SYNGAP1"	1	0	0.369	1	1	1	5.49714765540916	1	1.49855993888022e-06	1	1	0.00689680509309258	0.935567428245864	0.965581360902924	0.3579569651027	1
"DAGLA"	0	0	0.331	1	1	0	3.37208547731441	1	0.946291235081109	0	0	0.00506139629012589	0.935030591138049	0.953976340656541	0.650317960938586	1
"TRPM3"	0	0	0.433	1	1	0	3.03459878564586	1	0.557348351166792	0	0	0.00501152472349913	0.934767009007764	0.952908516085125	0.647067035268412	1
"OGDH"	0	0	0.504	1	1	1	3.80820798104775	1	0.860876108798512	0	0	0.00413915087032255	0.934190146862431	0.951341506390141	0.690258137542036	1
"TRRAP"	0	0	0.908	1	1	0	3.94428599509633	0	0.725794618880421	0	0	0.00918127730177121	0.934068985390257	0.966204915322822	0.00101927935230158	1
"MEF2D"	0	0	0.822	1	1	0	4.05698117348953	0	0.715426083043537	0	0	0.00873571990261324	0.933871168201762	0.962077282046307	0.00760147899882062	1
"STXBP1"	0	0	0.689	1	1	1	3.19411051659462	1	0.788106485273394	0	0	0.00437520186606878	0.932682194879539	0.951521681266021	0.656201236828833	1
"NTRK2"	0	0	0.34	1	1	0	3.21132027955408	1	0.936055000532918	0	0	0.0052546404045585	0.932399350767592	0.951930379286198	0.650512496130397	1
"ADCY1"	0	0	0.267	1	1	0	3.48700877055754	1	0.945759743963885	0	0	0.00535534060339084	0.932141379322625	0.951060748353637	0.636245106783889	1
"KIF5C"	0	0	0.669	1	1	1	3.19650447473029	1	0.940743986583163	0	0	0.00441654008422821	0.931716923232759	0.949953005235098	0.656337467269927	1
"KCNQ2"	0	0	0.392	1	1	1	4.35951159031219	1	0.884326121906106	0	0	0.00456835262945301	0.931640619702056	0.94952656984106	0.677682831606053	1
"NAV1"	0	0	0.151	1	1	0	4.12700466232293	1	0.947858821633211	0	0	0.00568875258007045	0.931554860948622	0.955300101639362	0.611164604354139	1
"TSC2"	0	0	0.893	1	1	1	2.88865270295343	1	0.719610058710906	0	0	0.00533059215337057	0.930821442826475	0.954093065109132	0.638614251279129	1
"ABR"	0	0	0.502	1	1	1	3.62968998024446	1	0.785698277421339	0	0	0.0043457244940415	0.930672113720371	0.946198475290886	0.680548259793087	1
"NCDN"	0	0	0.341	1	1	1	4.97616104630809	1	0.942105280943446	0	0	0.00568520468299303	0.930256569027352	0.957373302633163	0.645136584138022	1
"TUBB"	0	0	0.666	0	0	0	9.95519139965487	0	0.93545097889875	0	0	0.0107233958511154	0.930199194133102	0.974111589254743	0.460246157195562	0.999999677040305
"FOXO3"	0	0	0	1	1	0	6.23391480670143	1	0.941221871108347	0	0	0.00993379267310319	0.929513627562083	0.968312993095785	0.27854448547919	1
"PCNXL3"	0	0	0.556	1	1	0	4.43314467111255	0	0.946318158905704	0	0	0.00603254185204352	0.929451306928445	0.947446734215384	0.331440892512593	1
"CACNA1I"	0	0	0.175	1	1	0	3.7474344321921	1	0.943099987863226	0	0	0.00585823728453087	0.928192769135613	0.949955803841286	0.615272783910969	1
"RASGRF1"	0	0	0.206	1	1	0	3.5642847717502	1	0.94762738264158	0	0	0.00578631966764051	0.928065380632495	0.950732547404772	0.621873172195336	1
"TRIO"	0	0	0.712	1	1	1	2.99323329259636	1	0.0493131742755588	1	1	0.00481401872512561	0.928036618550082	0.94567627668937	0.64468032337124	1
"ATP1A2"	0	0	0.425	1	1	1	3.84631593752064	1	0.946495106647724	0	0	0.00456341884586895	0.927776764614331	0.94294424238318	0.678869090031525	1
"ARHGEF12"	0	0	0.389	1	1	0	2.86087693918036	1	0.943107469578361	0	0	0.00557003891236739	0.927701482175755	0.94665735969923	0.636995600692711	1
"GRIN2B"	1	0	0.392	1	1	1	4.02753245796211	1	0.000151891099685719	1	1	0.00467976974736647	0.927222406632586	0.942958275624685	0.673280551462103	1
"MAP1B"	0	0	0.898	1	1	1	2.77489746105279	1	0.94820642601484	0	0	0.00591229182171116	0.926667081281437	0.951503682790781	0.631965511775186	1
"CACNA1B"	0	0	0.352	1	1	0	2.91867901192334	1	0.850169052900327	0	0	0.00568960682885688	0.926575793825343	0.947178524112728	0.640360519667204	1
"GNAS"	0	0	0.41	1	1	1	3.86483327659121	1	0.578729168181603	0	0	0.00465123980140576	0.926569880877036	0.941880870634379	0.675500176308385	1
"MYH10"	0	0	0.778	1	1	1	2.86070148124415	1	0.121247062675013	1	1	0.00519597662050327	0.926421574894666	0.945759311028234	0.636985365849188	1
"MINK1"	0	0	0.412	1	1	1	3.82028078342246	1	0.863265949247112	0	0	0.0046732725463174	0.926020395847504	0.940945311721844	0.6753651406171	1
"TNRC6B"	0	0	0.438	1	1	0	2.6786489634683	1	0.0822199494017251	1	1	0.00566421760000496	0.925952716410913	0.943189170244045	0.626300439401727	1
"KCNH1"	0	0	0.5	1	1	0	4.46216808563201	0	0.93961110244873	0	0	0.00611711955857037	0.925941323859193	0.943197746753552	0.338476217574024	1
"UNC5A"	0	0	0.441	1	1	0	2.6701138178631	1	0.943518719356497	0	0	0.0056666884478801	0.925892430759443	0.943146473910463	0.625796368736506	1
"NSD1"	0	0	0.565	1	1	0	4.2100248451344	0	0.937865178619791	0	0	0.00580495264144004	0.92547055455936	0.941933373372949	0.418881856407321	1
"NCOA1"	0	0	0.977	1	1	0	2.19734042122194	1	0.941541273920587	0	0	0.00877157719914508	0.924640797363489	0.955278503659236	0.376224603905588	1
"AGTPBP1"	0	0	0.61	1	1	0	2.34521993158417	1	0.93351819037172	0	0	0.00581598401974249	0.923876828768866	0.942907926437047	0.606414521319952	1
"SIAH1"	0	0	0.907	0	0	0	5.57285135780797	1	0.813721321873292	0	0	0.00802729684426059	0.923845358398738	0.961749469046735	0.460246157195562	0.999987777114488
"UBR3"	0	0	0.287	1	1	0	3.00974330921264	1	0.533114294330032	0	0	0.00598460414490645	0.923788024339304	0.945609314790623	0.636213328710969	1
"MAGED1"	0	0	0.309	1	1	0	2.93473703855713	1	0.940684468565537	0	0	0.00595783737918536	0.923751026083394	0.946109749586594	0.639120101276765	1
"ZEB2"	0	1	0.841	1	1	0	4.08880547259296	1	0.941543928505853	0	0	0.0215962831413536	0.923430684558183	0.976523319834827	0.00823515132378125	1
"APP"	0	0	0.971	1	1	0	2.16276016756208	1	0.91510524838309	0	0	0.00899880242780729	0.922924839447609	0.95414191523679	0.362678576333206	1
"LRP8"	0	0	0.681	1	1	0	2.24948123895438	1	0.942095080828188	0	0	0.00607488179917138	0.922626893878973	0.944852678222868	0.57100011475303	1
"ARHGEF11"	0	0	0.256	1	1	0	3.06528708361171	1	0.939077704071836	0	0	0.0061376622257437	0.92247403449109	0.944137989848527	0.629691135165637	1
"BMPR2"	0	0	0.853	1	1	0	2.12879081150153	1	0.900394974272052	0	0	0.00761971252172119	0.920605519849187	0.948368340570559	0.443785810076518	1
"NAT8L"	0	0	0.178	1	1	0	3.30464729805156	1	0.922429835281321	0	0	0.00648442292971511	0.920335756158	0.943093476764495	0.61316568649625	1
"UBR5"	0	0	0.761	1	1	0	3.66554220747485	0	0.708720028573503	0	0	0.00738710384443723	0.920102261970505	0.945505601016088	0.289721172364359	1
"PLCB1"	0	0	0.396	1	1	1	3.56920169341432	1	0.868534759412431	0	0	0.00502877769993639	0.91972316164983	0.931598206446572	0.668095655355325	1
"STK25"	0	0	0.163	1	1	0	3.32562334612167	1	0.944352832071071	0	0	0.00662179706789554	0.919225951016546	0.941955999618204	0.60964912695774	1
"HIPK2"	0	0	0.435	1	1	0	2.44611160392188	1	0.945679196028509	0	0	0.00621404969284669	0.918765132861282	0.937803694620554	0.612472436403407	1
"MACF1"	0	0	0.384	1	1	1	3.57096145927664	1	0.94925037751975	0	0	0.00511075431925246	0.918481796555523	0.930113110342585	0.665284952586531	1
"JPH4"	0	0	0.397	1	1	0	2.51041999390596	1	0.83921471223989	0	0	0.00627230050727283	0.918441018072386	0.936147171810062	0.616315811875473	1
"NRXN2"	0	0	0.197	1	1	0	3.10621555573986	1	0.901459975471477	0	0	0.00662499930561213	0.918019119565837	0.941128768506037	0.616335383835079	1
"MIB1"	0	0	0.429	1	1	0	2.43257546769827	1	0.0516624718946806	1	1	0.00628059522399145	0.917971645507177	0.936847923575648	0.611661648046876	1
"CAMK2A"	0	0	0.609	1	1	1	2.83664782143281	1	0.715850195395255	0	0	0.0054781921217068	0.917793679780911	0.930365123717651	0.635581092039263	1
"KCNMA1"	0	0	0.675	1	1	0	3.68008237794713	0	0.864501076453551	0	0	0.00589884433020471	0.917726805549863	0.936725541426942	0.578299252211438	1
"APBB1"	0	0	0.191	1	1	0	3.05760838933391	1	0.508957716081198	0	0	0.00677904236055341	0.916358526806537	0.939832153559595	0.61458865062029	1
"SPAG9"	0	0	0.218	1	1	0	2.92884086192394	1	0.138632761019047	1	1	0.00674928625144797	0.915917032552842	0.938570030002797	0.619840755082303	1
"NCOR2"	0	0	0.897	1	1	0	3.43284586801742	0	0.944924635600442	0	0	0.00998359381320821	0.915893793116369	0.951153063224267	0.0211512641814679	1
"PTPRS"	0	0	0.275	1	1	1	4.31506595780164	1	0.948586945318227	0	0	0.00612987384787427	0.915258777183575	0.933312829472573	0.64626145086843	0.999999999999999
"ARNT2"	0	0	0.16	1	1	0	3.14252152395802	1	0.861536746093678	0	0	0.00697478778375084	0.91512598362172	0.939472122289585	0.607839815688288	1
"MTOR"	0	0	0	1	1	0	4.37047953938947	1	0.920688255384287	0	0	0.00823596468069654	0.915116412912819	0.944616021365484	0.543034826766066	1
"TNPO2"	0	0	0.467	1	1	0	4.12224868150673	0	0.934753635389275	0	0	0.00605147079313452	0.9150925811565	0.92892921194901	0.503618068032053	1
"DPYSL2"	0	0	0.456	1	1	1	3.10972799849671	1	0.467902197707443	0	0	0.00538991499614131	0.914900849301695	0.927844973360667	0.65138307855922	1
"SYNJ1"	0	0	0.618	1	1	1	2.72368255723844	1	0.936483766891974	0	0	0.00583491675553641	0.914478666984986	0.928979083956143	0.628955483823335	1
"GIT1"	0	0	0.386	1	1	1	3.3684043597469	1	0.93306595521371	0	0	0.00535312415196274	0.914468330412325	0.925789869188097	0.663067860324319	1
"ZER1"	0	0	0.524	1	1	0	3.90952304382569	0	0.942587776643381	0	0	0.00587896915688434	0.914466812881474	0.928135498081531	0.571025246187847	1
"GRM4"	0	0	0.217	1	1	0	2.86047628362633	1	0.945524190190333	0	0	0.00689802231151177	0.914165234607693	0.936692213560518	0.619073846827231	1
"TIAM1"	0	0	0.419	1	1	0	2.32374136208917	1	0.947413560502576	0	0	0.00662525319902174	0.913746164413297	0.932848102919596	0.605120561874027	1
"CRTC1"	0	0	0.205	1	1	0	2.88637537958307	1	0.896551539496739	0	0	0.00696703634838903	0.913690758977057	0.936999061500311	0.616566011416452	1
"MYCBP2"	0	0	0.443	1	1	1	3.08945860178349	1	0.948935467847486	0	0	0.0054985333646172	0.913226904914614	0.925990364919165	0.650221045862349	1
"JAK1"	0	0	0.953	1	1	0	3.33381188201046	0	0.853827954234273	0	0	0.011002157794038	0.913078840363267	0.945697028155261	0.00642154554488011	1
"CUX2"	0	0	0.218	1	1	0	2.80153931509436	1	0.652196573724072	0	0	0.00701195198866938	0.912783751265674	0.935440878252791	0.618831057798138	1
"GSK3B"	0	0	0.98	1	1	1	2.43174597090906	1	0.906388416154346	0	0	0.00994727643192776	0.912162755565245	0.94430564525715	0.390404580512814	1
"HNRNPH2"	0	0	0.852	0	0	0	7.33125799260181	0	0.931560231552289	0	0	0.0133887581340709	0.912031124057485	0.960299588868783	0.460246157195562	0.999997682669196
"BCR"	0	0	0.26	1	1	1	4.23408129147524	1	0.94860720650652	0	0	0.00637108170695628	0.911960531435477	0.928350170597656	0.641465120402003	0.999999999999993
"KIF5A"	0	0	0.35	1	1	1	3.42992001578726	1	0.941009475309746	0	0	0.00553471352075092	0.91180498246695	0.922142379319477	0.655470858440326	1
"KIF1B"	0	0	0.175	1	1	0	2.92727729072273	1	0.944460221600201	0	0	0.00721159280337939	0.911788525301752	0.935391803236401	0.610016470488985	1
"NLGN2"	0	0	0.253	1	1	1	5.6257886388616	1	0.8414908944609	0	0	0.013691756061222	0.911559452557899	0.949576172193416	0.166110214511312	1
"ACTB"	0	1	0.996	1	1	1	6.89085503485001	1	0.937241244553462	0	0	0.044098768288078	0.911380538914063	0.993721480613507	0.000293160005186664	1
"CAMSAP1"	0	0	0.176	1	1	0	2.90063844721019	1	0.898036193700691	0	0	0.00725447525524005	0.911253718171837	0.934876783689946	0.610073598409004	1
"BRD4"	0	0	0.375	1	1	0	4.3732885445208	0	0.947535528205582	0	0	0.00665765183322871	0.911088041345808	0.925092383374711	0.423403063424013	1
"GNAL"	0	0	0.287	1	1	0	2.52160252100371	1	0.932635931670463	0	0	0.00702473808163216	0.91095862441096	0.932014903748711	0.610340960450212	1
"RAPGEF1"	0	0	0.14	1	1	0	3.03991750162196	1	0.945270294489215	0	0	0.00741645901169288	0.910790096650652	0.934788639846852	0.60254633868659	1
"CIT"	0	0	0.331	1	1	1	3.46171204433974	1	0.873796206696439	0	0	0.00565660753838996	0.910188230144614	0.919869772306964	0.65135835372679	1
"AKT1"	0	0	0.997	1	0	0	3.50354311825862	1	0.939140676931222	0	0	0.0162433000708697	0.910134986586793	0.954768955879319	5.17349892433746e-05	1
"PTPRD"	0	0	0.838	1	1	1	2.42172367078255	1	0.9472548889402	0	0	0.00806811292084291	0.910076289392921	0.933661153565688	0.600657489850112	1
"DAB2IP"	0	0	0.415	1	1	1	3.05929650631056	1	0.945900680492632	0	0	0.00571509577442019	0.909855355673877	0.921634024126258	0.648488566651534	1
"CDKL5"	0	0	0.432	1	1	1	2.99934769170759	1	0.938155940324858	0	0	0.00575249906729972	0.909799710655586	0.921633230642096	0.645033569734367	1
"SLC12A5"	0	0	0.519	1	1	1	2.76624690030836	1	0.945006097109567	0	0	0.00598531110111771	0.909749030997617	0.922673463375337	0.631457810439736	1
"SORT1"	0	0	0.837	1	1	0	1.91728645717548	1	0.928222138271689	0	0	0.00926758600486456	0.909443717793828	0.938254562679454	0.39396265158084	1
"MMP24"	0	0	0.104	1	1	0	3.14952420245494	1	0.938743058792943	0	0	0.0077108569642772	0.909198428805043	0.933314835156092	0.594482449659194	1
"VAMP2"	0	0	0.388	1	1	1	3.12211730990669	1	0.913392665290313	0	0	0.0057514391576376	0.908833095045406	0.918553446842176	0.652092466102082	1
"MAPK8IP3"	0	0	0.274	1	1	1	3.75124845716259	1	0.946023391796234	0	0	0.00606257077851843	0.907733246581859	0.916435102132232	0.640521275396607	0.999999999999282
"HERC1"	0	0	0.192	1	1	0	2.69743780685747	1	0.948425339540359	0	0	0.00751598119535102	0.907697395088618	0.929292543581545	0.609974087450287	1
"EPHA4"	0	0	0.741	1	1	1	2.42058747782061	1	0.911328290470982	0	0	0.00743521831166708	0.907646303773393	0.929313869246647	0.610943074071683	1
"HIVEP2"	0	0	0.488	1	1	0	3.78329700048602	0	0.948211362525436	0	0	0.0060232178872633	0.907527131319972	0.919585713133525	0.62623492632149	1
"ARHGEF17"	0	0	0.266	1	1	0	2.45720766158093	1	0.948493462947869	0	0	0.00736908182030689	0.907369474141295	0.927384027162769	0.60389652609015	1
"SYT1"	0	0	0.378	1	1	1	3.09876265048574	1	0.432741110585706	0	0	0.00586190994280274	0.907205423789683	0.916010158551352	0.650754664035119	1
"ARFGEF1"	0	0	0.848	1	1	0	3.25173132620334	0	0.946131751284848	0	0	0.00914603897346879	0.906815677650509	0.936612391795086	0.205446131811591	1
"SPTBN1"	0	0	0.233	1	1	1	4.13876876973086	1	0.752396232500613	0	0	0.00688776552223865	0.906292651996486	0.923267995241519	0.627852218282323	0.999999999999911
"TEF"	0	0	0.513	1	1	0	3.67145909368327	0	0.926518049323692	0	0	0.0060328715693996	0.906165437729979	0.918554850818285	0.624501527651911	1
"CDK16"	0	0	0	1	1	0	3.68978099504822	1	0.937109206394405	0	0	0.00882746623777322	0.905717487260096	0.931974800856879	0.557681779717832	1
"GNAO1"	0	0	0.227	1	1	1	4.16689209013823	1	0.934298073366315	0	0	0.00705927169930351	0.905517623565963	0.923011073245813	0.612520898583578	0.999999999999909
"NGEF"	0	0	0.258	1	1	0	2.41553910823196	1	0.869094906090955	0	0	0.00755205347076049	0.905454012710812	0.925689749439111	0.600386999466417	1
"PITPNM1"	0	0	0.106	1	1	0	2.9609334013613	1	0.919528322275399	0	0	0.00804282887847203	0.905313780565942	0.928586575367915	0.594219877061314	1
"TRIM2"	0	0	0.544	1	1	1	2.58968101387397	1	0.897678032614689	0	0	0.00653969746212204	0.905309457865404	0.919469092550293	0.621032865342936	1
"AATK"	0	0	0.213	1	1	0	2.53674253948121	1	0.945087879374471	0	0	0.00767725830300262	0.905219587153413	0.923923617865993	0.602812521029976	1
"GRM5"	0	0	0.277	1	1	1	3.57743012126102	1	0.943829082397854	0	0	0.00611921783846963	0.905215192074355	0.912596333352678	0.639563364613633	0.999999999997543
"RHOB"	0	0	0.341	1	1	1	3.17800711033581	1	0.905470662533412	0	0	0.00598104401303262	0.905106036386303	0.912263375366773	0.65034297470841	1
"SLC6A1"	1	0	0.152	1	1	0	2.73961066030364	1	0.0334215875880457	1	1	0.00789092820866262	0.904892434561126	0.926772484333337	0.6036781680869	1
"ANKRD52"	0	0	0.74	1	1	0	3.25664253634685	0	0.944395386640225	0	0	0.00678267090739549	0.904847338976736	0.927186929687002	0.618044593095978	1
"GRIN1"	0	0	0.266	1	1	1	3.64445363854398	1	0.942904762289363	0	0	0.00622392431569313	0.904771634952417	0.913194359812858	0.637496967241292	0.999999999996331
"RALGDS"	0	0	0.452	1	1	0	2.03388762217281	1	0.881938128553297	0	0	0.00739896205400619	0.904641333787638	0.92242753160698	0.587521127819283	1
"NRXN3"	0	0	0.504	1	1	1	2.6405317283347	1	0.944691191091189	0	0	0.0064728946094717	0.904430052591146	0.91731778816841	0.624047194824891	1
