"gene"	"ASDc"	"IDG"	"hs"	"SCZ"	"FMRP"	"PSD"	"NP_exon_max_z"	"any_Brain_GO"	"TADAq"	"TADAi"	"UASD"	"varp"	"meanp"	"medp"	"minp"	"maxp"
"MPLKIP"	0	0	0	0	0	0	-1.69236645677394	0	0.909571716088192	0	0	0.00177733574483164	0.298054283169714	0.289596727738772	0.217859826936064	0.460246157195562
"C5orf42"	0	1	0.097	0	0	0	2.16084317073088	0	0.948724968963858	0	0	0.0201068041943957	0.298047607342635	0.343169930099002	2.57348180676746e-06	0.966546677564341
"PIGP"	0	0	0.11	0	0	0	-0.344067041570004	0	0.936506508933837	0	0	0.00169014387168665	0.298030301253753	0.290907535501868	0.201559937360453	0.460246157195562
"C10orf91"	0	0	0.082	0	0	0	-0.523175759200196	0	0.844041294364914	0	0	0.00155401776153598	0.297977332330119	0.29044865504341	0.208244921643713	0.460246157195562
"MEIG1"	0	0	0.124	0	0	0	-0.275252957410231	0	0.833360491985981	0	0	0.00177456311982383	0.297969273384877	0.291468538389471	0.198348045976817	0.460246157195562
"TIRAP"	0	0	0.108	0	0	0	-0.358009366336031	0	0.941505599836832	0	0	0.00168059468980815	0.297945903330676	0.290691278229583	0.201869016651737	0.460246157195562
"CYP2C8"	0	0	0.041	0	0	0	-0.924139797117458	0	0.927404636631385	0	0	0.00147050627309504	0.297941573935781	0.289724637817703	0.220341895985035	0.460246157195562
"STON1"	0	0	0	0	0	0	-1.70384204506372	0	0.936162955765232	0	0	0.00178255091368852	0.297906012999916	0.289455518660227	0.217603704530235	0.460246157195562
"CYP1A2"	0	0	0.089	0	0	0	-0.478121669794405	0	0.944322915654296	0	0	0.00158604928979912	0.297860752624411	0.289904428650703	0.206265324221865	0.460246157195562
"PCP4"	0	0	0.192	0	0	0	-0.0361915728374954	0	0.902606523824264	0	0	0.002279084705467	0.29784538723875	0.2962646738469	0.169683670957344	0.460246157195562
"TSSK6"	0	0	0.085	0	0	0	-0.507182985199677	0	0.923380716843028	0	0	0.00156895963356773	0.297832846785696	0.290049387801855	0.207227412386137	0.460246157195562
"MZF1"	0	0	0.294	0	0	0	0.160968910801511	0	0.893377285457141	0	0	0.00325083726937619	0.297831414188125	0.30322713385381	0.1217285162038	0.460246157195562
"COMMD1"	0	0	0.095	0	0	0	-0.441238435506304	0	0.917249543910791	0	0	0.00161557848348713	0.297788325048458	0.289863695171509	0.204662344356235	0.460246157195562
"ZNF502"	0	0	0.121	0	0	0	-0.295967551318298	0	0.948311758665801	0	0	0.00175992301843585	0.297779917065229	0.290924071035431	0.198665770924297	0.460246157195562
"GTDC1"	0	0	0.129	0	0	0	-0.258569044345094	0	0.90134319897437	0	0	0.00181048533101771	0.297770267408121	0.291516641621902	0.196921898585367	0.460246157195562
